Provincia;Municipio;;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Precio gasolina 95 E25;Precio gasolina 95 E85;Precio AdBlue;Precio diesel renovable;Precio gasolina renovable	;Precio metanol	;Precio  amoniaco	;Precio BGNC	;Precio BGNL;Rótulo;Tipo venta;Rem.;Horario;;;
BIZKAIA;ONDARROA;;ONDARROA;48700;EGUIDAZU KAIA, S/N;-2,419056;43,326417;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CÁDIZ;CHIPIONA;;CHIPIONA;11550;PUERTO PESQUERO DEPORTIVO, S/Nº;-6,429944;36,746500;1,575;;1,572;727,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
CÁDIZ;CONIL DE LA FRONTERA;;CONIL DE LA FRONTERA;11140;LONJA DE PESCADO DE CONIL DE LA FRONTERA;-6,136889;36,294389;1,530;;1,410;800,000;;;;;;;;;;;TRAFALGAR OILS;Mixto;dm;L: 10:00-14:00 y 16:00-19:00;;;
CANTABRIA;CASTRO-URDIALES;;CASTRO URDIALES;39700;MUELLE EQUILIÓN S/N;-3,221000;43,382444;1,609;;1,546;653,000;;;;;;;;;;;REPSOL;Mixto;OM;L-V: 09:00-13:00;;;
CANTABRIA;COLINDRES;;COLINDRES;39750;MUELLE PESQUERO, S/Nº;-3,463028;43,393917;1,609;;1,546;653,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CANTABRIA;LAREDO;;LAREDO;39770;NUEVO PUERTO DE LAREDO, S/Nº;-3,415444;43,418778;1,609;;1,546;653,000;;;;;;;;;;;REPSOL;Mixto;OM;L-S: 09:00-13:00 y 14:00-18:00;;;
CANTABRIA;MARINA DE CUDEYO;;PEDREÑA;39130;BARRIO LA BARQUERIA 151-ES;-3,766472;43,447167;1,699;;1,599;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 06:00-21:30;;;
CANTABRIA;SAN VICENTE DE LA BARQUERA;;SAN VICENTE DE LA BARQUERA;39540;AVDA. ANTONIO GARELY, S/Nº;-4,397750;43,385028;;;1,546;653,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CANTABRIA;SANTANDER;;SANTANDER;39009;PUERTO PSQUERO;-3,821333;43,449222;;;;653,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-J: 09:00-13:00 y 14:00-18:00;;;
CANTABRIA;SANTOÑA;;SANTOÑA;39740;MUELLE PESQUERO, S/Nº;-3,463306;43,441972;1,609;;1,546;653,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CANTABRIA;SUANCES;;SUANCES;39340;MUELLE PESQUERO, S/Nº;-4,035250;43,425306;1,609;;1,546;653,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CASTELLÓN / CASTELLÓ;ALCALÀ DE XIVERT;;ALCOSSEBRE;12579;PM PUERTO DEPORTIVO LAS FUENTES DE ALCOCEBRE;0,280667;40,247972;1,499;;1,437;;;;;;;;;;;;;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 16:00-19:00;;;
CASTELLÓN / CASTELLÓ;BURRIANA;;BURRIANA;12530;MUELLE DE PONIENTE;-0,069139;39,859056;1,630;;1,510;;;;;;;;;;;;MARINA BURRIANANOVA, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
CASTELLÓN / CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;;CASTELLON DE LA PLANA;12100;ESCOLLERA DE PONIENTE, S/N;0,020639;39,968583;1,579;;1,540;;;;;;;;;;;;REAL CLUB NAUTICO DE CASTELLON;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
CASTELLÓN / CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;;CASTELLON DE LA PLANA;12100;MUELLE PESQUERO, S/Nº;-0,019836;39,966340;;;;662,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CASTELLÓN / CASTELLÓ;OROPESA DEL MAR/ORPESA;;OROPESA;12594;PARTIDA DENOMINADA PUERTO DEPORTIVO;0,146806;40,081306;1,657;;1,558;;;;;;;;;;;;CLUB NAUTICO DE OROPESA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
CASTELLÓN / CASTELLÓ;PEÑÍSCOLA;;PEÑISCOLA;12598;EXPLANADA  DEL PUERTO S/N;0,406167;40,356417;;;;650,000;;;;;;;;;;;NINGUNO;Suministro a pesqueros;dm;L-V: 09:00-13:00 y 15:00-19:00;;;
CORUÑA (A);CAMARIÑAS;;CAMARIÑAS;15123;MUELLE PESQUERO, S/Nº;-9,182914;43,128027;;;;667,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);CARIÑO;;CARIÑO;15593;MUELLE PESQUERO, S/Nº;-7,866525;43,737749;;;;684,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);CORUÑA (A);;CORUÑA (A);15001;PASEO MARITIMO ALCALDE FCO VAZQUEZ S/N ;-8,383556;43,366889;1,559;;1,565;;;;;;;;;;;;MARINA CORUÑA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
CORUÑA (A);CORUÑA (A);;CORUÑA (A);15006;DÁRSENA DE OZA, S/Nº;-8,379303;43,348582;;;;643,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);FERROL;;FERROL;15401;MUELLE DE CRUXEIRAS, S/Nº;-8,244306;43,478306;1,556;;1,539;667,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
CORUÑA (A);FISTERRA;;FISTERRA;15155;MUELLE PESQUERO, S/Nº;-9,259750;42,907389;;;;666,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);LAXE;;LAXE;15117;MUELLE PESQUERO, S/Nº;-9,001803;43,223304;;;;666,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);MALPICA DE BERGANTIÑOS;;MALPICA;15113;MUELLE PESQUERO, S/Nº;-8,808192;43,323304;;;;667,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);MUROS;;MUROS;15250;MUELLE PESQUERO S/N;-9,055972;42,776083;1,556;;1,515;667,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
CORUÑA (A);MUXÍA;;MUXIA;15124;MUELLE PESQUERO, S/Nº;-9,214858;43,105804;;;;668,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);POBRA DO CARAMIÑAL (A);;POBRA DO CARAMIÑAL;15940;MUELLE COMERCIAL S/N;-8,935417;42,609083;1,469;;1,469;727,000;;;;;;;;;;;AVIA;Mixto;dm;L-D: 07:00-23:00;;;
CORUÑA (A);PORTO DO SON;;PORTO DO SON;15970;MUELLE PESQUERO, S/Nº;-9,003469;42,726638;;;;728,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);PORTO DO SON;;PORTOSIN;15999;MUELLE PESQUERO, S/Nº;-8,947358;42,760804;;;;668,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
CORUÑA (A);RIANXO;;RIANXO;15920;PORTO DE RIANXO, S/N;-8,822417;42,647389;1,549;;1,539;720,000;;;;;;;;;;;VALCARCE;Mixto;dm;L: 07:00-23:00;;;
CORUÑA (A);RIBEIRA;;SANTA UXIA DE RIBEIRA;15960;MUELLE PESQUERO, S/Nº;-8,989025;42,561360;;;;648,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);SADA;;SADA;15160;MUELLE PESQUERO, S/Nº;-8,246528;43,362750;1,556;;1,539;666,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);SADA;;SADA;15160;AVENIDA DEL PUERTO, S/N;-8,248306;43,357556;1,560;;1,555;;;;;;;;;;;;SADAMAR - GALP;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIPUZKOA;GETARIA;;GETARIA;20808;MUELLE PESQUERO S/N;-2,127945;43,275584;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIPUZKOA;HONDARRIBIA;;HONDARRIBIA;20280;PASEO IRIBARREN, S/N;-1,790722;43,388361;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIPUZKOA;PASAIA;;PASAI DONIBANE;20110;MUELLE DONI-BANE S/N;-1,911389;43,322250;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 08:00-13:00 y 15:00-17:00;;;
GIRONA;BLANES;;BLANES;17300;ESPLANADA DEL PORT S/N;2,797889;41,675083;1,659;;1,589;;;;;;;;;;;;CLUB VELA BLANES;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;ESCALA (L');;ESCALA (L');17130;PORT LA CLOTA S/N;3,126222;42,119194;1,599;;1,529;;;;;;;;;;;;CLUB NAUTIC L'ESCALA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;PALAMÓS;;PALAMOS;17230;SALVADOR ALBERT I PEY S/N ;3,136500;41,846222;1,650;;1,570;;;;;;;;;;;;PORT ESPORTIU MARINA PALAMOS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;PALAMÓS;;PALAMOS;17230;MUELLE PESQUERO, S/N;3,125417;41,844667;;;;683,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIRONA;PORT DE LA SELVA (EL);;PORT DE LA SELVA (EL);17489;LLOIA S/N;;;1,679;;1,589;;;;;;;;;;;;NINGUNO;Suministro a barcos deportivos o de recreo;dm;L: 09:00-13:00 y 15:00-17:00;;;
GIRONA;ROSES;;ROSES;17480;ZONA DE DIC ABRIC - PUERTO DEPORTIVO DE ROSES;;;1,634;;1,629;;;;;;;;;;;;PETREM MAR;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;ROSES;;ROSES;17480;MUELLE PESQUERO, S/Nº;3,179420;42,252791;;;;677,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIRONA;SANT FELIU DE GUÍXOLS;;SANT FELIU DE GUIXOLS;17220;ZONA ESPORTIVA DEL PORT, S/Nº;3,030528;41,773889;1,600;;1,550;;;;;;;;;;;;CLUB NAUTIC SANT FELIU DE GUIXOLS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;SELVA DE MAR (LA);;SELVA DE MAR (LA) NUCLI;17489;MUELLE PESQUERO, S/Nº;3,200253;42,340846;;;;717,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIRONA;TORROELLA DE MONTGRÍ;;TORROELLA DE MONTGRI;17258;ESPLANA DEL PORT S/N L'ESTARTIT;3,203972;42,052278;;;;969,000;;;;;;;;;;;;Mixto;dm;X: 08:00-12:00; V: 08:00-12:00;;;
GIRONA;TORROELLA DE MONTGRÍ;;TORROELLA DE MONTGRI;17258;PASSEIG MARÍTIM, S/N;;;1,680;;1,604;;;;;;;;;;;;CLUB NAUTIC ESTARTIT;Suministro a barcos deportivos o de recreo;dm;L: 08:00-17:45;;;
GRANADA;ALMUÑÉCAR;;HERRADURA (LA);18697;TORRE DE CONTROL, PUERTO DEPORTIVO PUNTA DE LA MONA (MARINA DEL ESTE);-3,726417;36,727722;1,852;;1,804;;;;;;;;;;;;MARINA DEL MEDITERRANEO ESTE S.L.;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-19:00;;;
